onset	duration	trial_type
1.531	7.5	4
14.511	7.5	2
26.331	7.5	1
38.654	7.5	4
49.249	7.5	4
60.931	7.5	2
75.016	7.5	1
87.394	7.5	4
98.878	7.5	1
111.92	7.5	4
125.31	7.5	3
136.66	7.5	2
148.24	7.5	2
159.87	7.5	1
171.38	7.5	4
184.64	7.5	1
196.77	7.5	1
207.76	7.5	3
218.29	7.5	3
229.43	7.5	2
241.45	7.5	1
254.96	7.5	2
266.06	7.5	4
277.01	7.5	2
290.24	7.5	2
302.34	7.5	4
316.09	7.5	1
327.13	7.5	2
338.12	7.5	3
349.61	7.5	4
362.39	7.5	3
377.69	7.5	1
388.41	7.5	1
400.75	7.5	3
412.81	7.5	3
425.99	7.5	2
437.55	7.5	2
451.52	7.5	3
463.68	7.5	2
476	7.5	4
487.51	7.5	2
498.44	7.5	2
512.38	7.5	1
523.1	7.5	2
536.35	7.5	2
550.1	7.5	4
561.89	7.5	3
573.72	7.5	4
584.69	7.5	3
595.55	7.5	1
607.36	7.5	3
618.77	7.5	1
633.21	7.5	4
646.27	7.5	2
656.86	7.5	3
669.9	7.5	3
680.54	7.5	1
692.13	7.5	1
703.19	7.5	3
729.6	7.5	3
740.26	7.5	1
753.76	7.5	2
767.96	7.5	2
779.46	7.5	4
792	7.5	4
804.59	7.5	4
815.27	7.5	2
828.62	7.5	1
839.93	7.5	2
850.53	7.5	2
863.57	7.5	3
874.15	7.5	4
887.64	7.5	4
898.19	7.5	1
911.23	7.5	1
924.97	7.5	3
936.57	7.5	1
949.39	7.5	3
963.46	7.5	3
974.23	7.5	3
985.31	7.5	4
996.27	7.5	4
1009.2	7.5	1
1020.4	7.5	4
1032.2	7.5	3
1044.8	7.5	4
1055.5	7.5	1
1067.7	7.5	3
1079.8	7.5	3
1092.4	7.5	2
1104.7	7.5	3
1117.3	7.5	1
1129.6	7.5	4
1141.8	7.5	4
